link,year_publication,title,journal_name,aim_1,aim_2,aim_3,first_author,reference_uid,unique_id,metric,trap_types,trapping_method,repeated_visit,geolocation_level,speciation,aim,aim_detail,species_accumulation,diversity_measurement,trapping_effort,pathogen,supplementary_data,funding
https://doi.org/10.1111/j.1469-7998.2011.00803.x,2011,Extensive Robertsonian polymorphism in the African rodent Gerbillus nigeriae: geographic aspects and meiotic data,Journal of Zoology,Demonstrate the 2n variation in G. nigeriae,To use meoiotic preparations to karyotype the nature and extent of within population heterozygosity,,Karmidine Hima,10.1111/j.1469-7998.2011.00803.x,kh_2011_multiple,abundance,local_wire_mesh,not_stated,no,study_site,"morphological, molecular",Ecology,Investigate chromosomal variation in specific rodent species,No,No,No,No,,
https://doi.org/10.1016/j.mambio.2011.06.003,2011,Guinean biodiversity at the edge: Rodents in forest patchs of Southern Mali,Mammalian Biology,To characterise the rodent fauna of these patchy habitats relative to the surrounding Sudanian savanna matrix,To assess differences among study areas along the East-West axis of the wider study region,To check for possible Guinean affinities of these habitats via the finding of species having the centre of their distribution further south in the true Guinean forest zone,Laurent Granjon,10.1016/j.mambio.2011.06.003,lg_2011_mali,abundance,"local_wire_mesh, sherman",line_transect,yes,study_region,"morphological, molecular",Ecology,"Biodiversity, Effect of habitat type on rodent assemblages",Yes,Yes,Yes,No,,
https://doi.org/10.1371/journal.pone.0020893,2011,Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Cote d'Ivoire: Implications for evolution of arenaviruses in Africa,PLOS One,Aimed to perform a systematic search for old world Arenviruses in wildlife in Cote d'Ivoire,,,David Coulibaly-N'golo,10.1371/journal.pone.0020893,dc_2011_cotedivoire,abundance,not_stated,purposeful_houses,yes,study_site,morphological,Zoonoses risk,Investigate potential reservoir of pathogen,No,No,No,Yes,,
https://doi.org/10.1111/j.1365-2028.2009.01144.x,2010,"Diversity, dynamics and reproduction in a community of small mammals in Upper Guinea, with emphasis on pygmy mice ecology",African Journal of Ecology,Aimed to provide a reliable estimation of the taxonomic diversity of the small mammals in Upper Guinea,,,Elisabeth Fichet-Calvet,10.1111/j.1365-2028.2009.01144.x,fc_2010_guinea,abundance,sherman,line_transect,yes,study_site,"morphological, molecular",Ecology,Biodiversity,No,Yes,Yes,No,,
https://doi.org/10.1016/j.actatropica.2010.11.004,2010,Molecular survey of rodent-borne Trypanosoma in Niger with special emphasis on T. lewisi imported by invasive black rats,Acta Tropica,To investigate the presence of T. lewisi in native and invasive rodents in Niger,,,Gauthier Dobigny,10.1016/j.actatropica.2010.11.004,gd_2010_niger,abundance,"local_wire_mesh, sherman",not_stated,no,study_site,"morphological, molecular",Zoonoses risk,Prevalence of zoonoses in animal population,No,No,No,Yes,,
https://www.jstor.org/stable/40802598,2010,Variation in cestode assemblages of Mastomys and Arvicanthis species (Rodents: Muridae) from Lake Retba in Western Senegal,Journal of Parasitology,Aimed to compare the spatio-temporal variability of cestode infracommunities within and among the 3 sympatric host species to find whether they were parasitised by the same cestode species,"Whether within each host species if infracommunity variability is related to intrinsic, extrinsic, temporal or spatial factors",,R Sall-Drame,10.1645/GE-2437.1,rs_2010_senegal,abundance,"local_wire_mesh, sherman",line_transect,yes,study_site,morphological,Ecology,Biodiversity of rodent parasites,No,No,Yes,Rodent pathogen,,
https://doi.org/10.4269/ajtmh.2010.09-0716,2010,"A silent enzootic of an orthopoxvirus in Ghana, West Africa: Evidence for multi-species involvement in the absence of widespread human disease",American Journal of Tropical Medicine and Hygiene,Aimed to determine the geographic origin of a monkeypox outbreak in the USA traced back to Ghana,,,Mary Reynolds,10.4269/ajtmh.2010.09-0716,mr_2010_ghana,abundance,"sherman, local_wire_mesh",not_stated,no,study_site,morphological,Zoonoses risk,Investigating source of zoonotic outbreak,No,No,No,Yes,,
https://doi.org/10.1515/mamm.2010.026,2010,"Small mammal survey in the upper Seli River valley, Sierra Leone",Mammalia,Aimed to perform a post-war small mammal survey in sierra Leone in the context of the Bumbuna hydrolectric project,,,Jan Decher,10.1515/MAMM.2010.026,jd_2010_sierraleone,abundance,"sherman, victor, tomahawk, museum_special",line_transect,no,trap_site,morphological,Ecology,"Biodiversity, Small mammal survey",Yes,No,Yes,No,,
https://doi.org/10.1128/AEM.00199-10,2010,Terrestrial Small Mammals as Reservoirs of Mycobacterium ulcerans in Benin,Applied and Environmental Microbiology,To investigate the role of small terrestrial mammals on Mycobacterium ulcerans in Benin,,,Lies Durnez,10.1128/AEM.00199-10,ld_2010_benin,abundance,"sherman, box",not_stated,no,study_site,"morphological, molecular",Zoonoses risk,Investigate potential reservoir of pathogen,No,No,No,Yes,,
http://www.aensiweb.net/AENSIWEB/rjabs/rjabs/2010/144-149.pdf,2010,"A Survey of Rats Trapped in Residential Apartments and Their Ectoparasites in Makurdi, Nigeria.",Research Journal of Agriculture and Biological Sciences,Identify rodent species infesting human residences in Makurdi and identify their ectoparasite fauna,,,Edward Omudu,1816-1561,eo_2010_multiple,abundance,local_traps,purposeful_houses,no,study,morphological,Ecology,"Commensal rodent assemblages, Biodiversity of parasites",No,No,No,Rodent pathogen,,
https://doi.org/10.1111/j.1365-2028.2009.01144.x,2009,"Diversity and dynamics in a community of small mammals in coastal Guinea, West Africa",Belgian Journal of Zoology,Do the dynamics and demography of small mammal populations vary by seasonality,,,Elisabeth Fichet-Calvet,2295-0451,fc_2009_guinea,abundance,sherman,line_transect,yes,study_site,"morphological, molecular",Ecology,"Population dynamics, Seasonal changes in rodent assemblages",No,Yes,Incomplete,Yes,,
https://doi.org/10.1080/11250000802616817,2009,New data on the taxonomy and distribution of Rodentia (Mammalia) from the Western and coastal regions of Guinea West Africa,Italian Journal of Zoology,Aimed to understand the composition of rodent communities particularly Mastomys species found both in natural and anthropogenic zones,,,Christiane Denys,10.1080/11250000802616817,cd_2009_guinea,abundance,not_stated,not_stated,no,study_site,"morphological, molecular",Ecology,Understand rodent assemblages in different habitats,No,Yes,Incomplete,No,,
https://doi.org/10.1007/s10531-008-9389-1,2008,Diversity and distribution of murid rodent populations between forest and derived savanna sites within south western Nigeria.,Biodiversity and Conservation,to characterize murid rodent populations sampled within the study area employing multivariate morphometric methods in addition to other discrete characters;,to compare murid rodent diversity between forest and derived savanna sites; and,to provide information about species distribution limits as they are related to the forest and derived savanna zones of south western Nigeria.,Ayodeji Olayemi,10.1007/s10531-008-9389-1,ao_2008_nigeria,abundance,not_stated,trap_grid,yes,trap_site,morphological,Ecology,"Biodiversity, Characterise varied morphology of rodent species",No,Yes,Incomplete,No,,
http://www.ajol.info/index.php/gjs/article/view/56252,2008,"Biodiversity assessment (rodents and avifauna) of five forest reserves in the Brong-Ahafo Region, Ghana",Ghana Journal of Science,Characterise the existing avifauna and small mammal communities in the reserve with emphasis on identification of species of special interest to national and global conservation,,,D Attuquayefio,10.4314/gjs.v48i1.56252,da_2008_ghana,abundance,sherman,line_transect,no,study_site,morphological,Ecology,"Biodiversity, Small mammal survey",No,Yes,Yes,No,,
http://197.255.68.203/handle/123456789/972,2008,Cutaneous leishmaniasis in the Volta district of Ghana: An uncertain reservoir for focal disease outbreak,The Libyan Journal of Infectious Diseases,To determine the responsible reservoirs of L major in Ho district,,,G Raczniak,osf.io/g3r2e/,gr_2008_ghana,abundance,sherman,not_stated,no,study_site,morphological,Zoonoses risk,Investigate potential reservoir of pathogen,No,No,No,Yes,,
https://www.cambridge.org/core/product/identifier/S0266467408005105/type/journal_article,2008,"Annual flooding, survival and recruitment in a rodent population from the Niger River plain in Mali",Journal of Tropical Ecology,Describe the pattern of in survival and recruitment of Mastomys erythroleucus,,,Laurent Crespin,10.1017/S0266467408005105,lc_2008_mali,abundance,not_stated,line,yes,study_site,morphological,Ecology,"Population dynamics, Describe survival and recruitment",No,No,Incomplete,No,,
https://www.liebertpub.com/doi/10.1089/vbz.2006.0581,2007,Lassa Virus-Infected Rodents in Refugee Camps in Guinea: A Looming Threat to Public Health in a Politically Unstable Region,Vector-Borne and Zoonotic Diseases,To quantify risk of LASV in refugee camps in Guinea,,,Joseph Fair,10.1089/vbz.2006.0581,jf_2007_guinea,abundance,sherman,not_stated,no,study_site,morphological,Zoonoses risk,"Prevalence of zoonoses in animal population, Risk of spillover",No,No,Incomplete,Yes,,
http://catalog.hathitrust.org/api/volumes/oclc/76905467.html,2006,A rapid biological assessment of three classified forests in southeastern Guinea,RAP Bulletin of Biological Assessment 40,To study the rodent population and abundance of an area of high priority for conservation,,,Ryan Norris,1-881173-48-8,rn_2006_guinea,abundance,multiple,line,no,trap_line,morphological,Ecology,"Biodiversity, Small mammal survey",Yes,Yes,Yes,No,,
https://doi.org/10.1896/054.047.0116,2006,"A Rapid Biological Assessment of the Atewa Range Forest Reserve, Eastern Ghana",Conservation International,To survey the small mammals of Atewa,,,Natalie Weber,10.1896/054.047.0116,nw_2006_ghana,abundance,"tomahawk, sherman",line,no,study_site,morphological,Ecology,"Biodiversity, Small mammal survey",No,No,Incomplete,No,,
https://doi.org/10.1896/054.050.0114,2006,"Rapid Survey of the Small Mammals of Ajenjua Bepo and Mamang River Forest Reserves, Ghana",Conservation International,To survey the small mammals of Ajenjua Bepo and Mamang River,,,Patrick Barriere,10.1896/054.050.0114,pb_2006_ghana,abundance,"sherman, pitfall",not_stated,no,study_site,morphological,Ecology,"Biodiversity, Small mammal survey",No,No,Yes,No,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4170823/,2014,Lassa Serology in Natural Populations of Rodents and Horizontal Transmission,Vector-Borne and Zoonotic Diseases,Investigating the possible modes of LASV transmission by determining LASV specific in natural populations of M. natalensis living in high- and low-endemic zones for LASV.,,,Elisabeth Fichet-Calvet,10.1089/vbz.2013.1484,fc_2014_guinea,abundance,"arboreal_bottle_trap, ugglan, sherman",purposeful_houses,yes,study_site,not_stated,Zoonoses risk,"Prevalence of zoonoses in animal population, Risk of spillover",No,No,Incomplete,"Yes, second paper",10.1089/vbz.2006.0520,
https://doi.org/10.4314/gjs.v45i1.15906,2005,"Preliminary biodiversity assessment (herpetofauna and mammals) of a coastal wetland in the Volta region, Ghana",Ghana Journal of Science,Document the herpetofauna and mammals of a coastal wetland in Ghana,,,D Attuquayefio,10.4314/gjs.v45i1.15906,da_2005_ghana,presence_absence,"sherman, tomahawk",line_transect,no,study_site,morphological,Ecology,"Biodiversity, Small mammal survey",No,No,Incomplete,No,,
https://doi.org/10.1896/978-1-934151-01-3.47,2005,"Rapid survey of bats of North Lorma, Gola and Grebo National Forests, with notes on shrews and rodents",Conservation International,To rank the study sites according to relevance for biodiversity and conservation,,,Ara Monadjem,10.1896/978-1-934151-01-3.47,am_2005_liberia,abundance,"sherman, museum_special",line,no,study_site,morphological,Ecology,"Biodiversity, Identify sites of high priority for conservation efforts",No,No,Incomplete,No,,
https://press.uchicago.edu/ucp/books/book/distributed/B/bo4342936.html,2005,"A biological assessment of the terrestrial ecosystems of the Draw River, Boi-Tano, Tano Nimiri and Krokosua Hills forest reserves, southwestern Ghana",Conservation International,To conduct a comprehensive inventory of small mammal species,,,Jan Decher,978-1-881173-90-8,jd_2005_ghana,abundance,"sherman, victor, museum_special, pitfall",line,no,study_site,morphological,Ecology,"Biodiversity, Small mammal survey",Yes,No,Yes,No,,
https://doi.org/10.1046/j.0305-0270.2003.00999.x,2004,"Effects of climate and local aridity on the latitudinal and habitat distribution of Arvicanthis niloticus and Arvicanthis ansorgei (Rodentia, Murinae) in Mali",Journal of Biogeography,Investigate the effects of climate and local aridity on the latitudinal and habitat distribution of A. niloticus and A. ansorgei,,,B. Sicard,10.1046/j.0305-0270.2003.00999.x,bs_2004_mali,abundance,not_stated,line,no,trap_site,morphological,Ecology,Effect of habitat and aridity on rodent assemblages,No,No,Yes,No,,
